MATCH:  A =  2979942, B =  6437472, M =  8486585, mu = 253, Z =    4287999, golden =         4287999
MATCH:  A =   750968, B =  5783370, M = 13216539, mu = 162, Z =   12488292, golden =        12488292
MATCH:  A =  8222599, B =  5337876, M =  8601245, mu = 249, Z =    6761674, golden =         6761674
MATCH:  A =    34837, B =  9213358, M = 16496661, mu = 130, Z =    6716230, golden =         6716230
MATCH:  A = 11167284, B =  7525871, M = 15460189, mu = 138, Z =    3416550, golden =         3416550
MATCH:  A =  1107271, B =  9949573, M = 16094905, mu = 133, Z =    7742213, golden =         7742213
MATCH:  A =  4313115, B =  1695054, M = 11702005, mu = 183, Z =    6487405, golden =         6487405
MATCH:  A =  8058812, B =  3185138, M = 11815097, mu = 181, Z =     137489, golden =          137489
MATCH:  A =  1887701, B =  9686653, M = 11605971, mu = 185, Z =    7094978, golden =         7094978
MATCH:  A =  6421642, B =  8007963, M =  9606993, mu = 223, Z =    7439811, golden =         7439811
MATCH:  A = 11760006, B =  1129916, M = 14602927, mu = 147, Z =    2339262, golden =         2339262
MATCH:  A =  5531841, B = 10914602, M = 16485759, mu = 130, Z =    3422466, golden =         3422466
MATCH:  A =   316968, B =  1276380, M = 11056683, mu = 194, Z =    7584870, golden =         7584870
MATCH:  A =  2067280, B =  6701930, M = 11521165, mu = 186, Z =     400815, golden =          400815
MATCH:  A =  6304784, B =  7317572, M = 13929231, mu = 154, Z =    8407798, golden =         8407798
MATCH:  A =  6818163, B =  5139885, M =  8536469, mu = 251, Z =    3884342, golden =         3884342
MATCH:  A =  5035827, B =  5321405, M = 13470861, mu = 159, Z =   10364469, golden =        10364469
MATCH:  A =    86489, B =   926480, M = 10959351, mu = 195, Z =    6513559, golden =         6513559
MATCH:  A =   531233, B =    33272, M = 10989485, mu = 195, Z =    4092496, golden =         4092496
MATCH:  A =  6022567, B =  5429396, M = 10754587, mu = 199, Z =    9589512, golden =         9589512
MATCH:  A =  2525560, B =  6181006, M = 16755075, mu = 128, Z =   15951835, golden =        15951835
MATCH:  A =  2789704, B =  4255025, M = 10362949, mu = 207, Z =    9967601, golden =         9967601
MATCH:  A =  8418267, B =  3396849, M = 14378625, mu = 149, Z =    5100183, golden =         5100183
